Invoice_ID,Entity,Type,Business_Unit,Amount_FCY,Currency,FX_Rate,Amount_USD,Functional_Currency,Transaction_Date,Due_Date,GL_Code,Days_To_Due,Log_Amount_USD,anomaly_score,is_anomaly
FF986ED4,FR SAS,Intercompany,Sales,70619.61,USD,1.0,70619.61,USD,2024-07-04,2024-07-23,4503,19,11.165077307224738,-0.009095928217661309,False
F3BA9ED9,US Inc,AP,Sales,33850.95,EUR,1.1022,37310.52,USD,2024-04-04,2024-06-14,4797,71,10.52705740513342,-0.009272437151672475,False
19985059,UK PLC,AP,Logistics,7654.2,EUR,1.1014,8430.34,USD,2024-06-17,2024-09-03,4612,78,9.039710994472852,-0.00816937413036195,False
1BC857F7,UK PLC,Intercompany,IT,22828.87,JPY,0.0067,152.95,USD,2025-05-13,2025-06-17,4419,35,5.0366278743705095,-6.715272690216434e-05,False
C4A1D528,CA Corp,AP,Sales,3670.58,CAD,0.8089,2969.13,USD,2024-05-14,2024-06-23,4404,40,7.996361001882592,-0.012586645776787808,False
35FA4AC8,JP Ltd,AR,Finance,5817.98,EUR,1.1272,6558.03,USD,2024-10-28,2025-01-01,4243,65,8.788598005151243,-0.007583570870678347,False
00BB2E75,DE GmbH,AR,IT,42113.08,CAD,0.7531,31715.36,USD,2024-01-04,2024-01-19,4015,15,10.364587915065668,-0.006898993819441479,False
B39DF452,UK PLC,AP,Finance,10874.5,GBP,1.3155,14305.4,USD,2025-06-11,2025-07-01,4227,20,9.568462268573827,-0.004557399313666999,False
05DB5180,DE GmbH,Intercompany,HR,8339.32,CHF,1.0579,8822.17,USD,2024-02-27,2024-03-20,4566,22,9.085136494859219,-0.0015697538396726718,False
16000F31,US Inc,Intercompany,Finance,29381.33,EUR,1.0718,31490.91,USD,2025-04-24,2025-05-13,4479,19,10.357485966431609,-0.008249388760397991,False
2077668D,CA Corp,AP,HR,9551.67,CAD,0.811,7746.4,USD,2024-04-12,2024-07-19,4363,98,8.955112582189122,-0.007971332138080989,False
9FC2B0FF,FR SAS,Intercompany,Finance,53528.67,JPY,0.0067,358.64,USD,2024-09-11,2024-11-08,4072,58,5.885103531116572,-0.005707536889834053,False
C7688E0E,US Inc,Intercompany,Sales,45862.83,CHF,1.0712,49128.26,USD,2025-03-20,2025-04-05,4196,16,10.802210062969065,-0.003564755558145394,False
5494CAAD,US Inc,Intercompany,Logistics,4796.4,GBP,1.3321,6389.28,USD,2025-01-02,2025-02-02,4169,31,8.762533364877934,-0.0057069955060438105,False
4EA0B951,AU Pty,AR,R&D,11831.05,CHF,1.0537,12466.38,USD,2024-11-14,2024-12-13,4664,29,9.430870912348892,-0.0070022056079188655,False
CCA14879,DE GmbH,Intercompany,HR,19466.88,CNY,0.1458,2838.27,USD,2024-03-25,2024-05-22,4838,58,7.951302255860709,-0.007131976397630857,False
F6289725,CA Corp,Intercompany,HR,13387.45,CNY,0.1538,2058.99,USD,2024-05-29,2024-07-07,4362,39,7.630456407402912,-0.005678370141581235,False
6EB8FA79,CA Corp,AR,Finance,20772.5,GBP,1.2555,26079.87,USD,2025-06-22,2025-07-13,4298,21,10.168957374379898,-0.008814692815822367,False
